stage_order,stage_code,stage_label,formation,formation_slot,position,position_order,event_id,player_id,player_name,national_team_name,opponent_team_name,minutes_played,rating,goals,assists,xg,xa
1,GROUP_MD1,Grup 1. Maçları,3-4-3,G1,G,1,15186783,307436,Vozinha,Cabo Verde,Spain,90.0,9.7,0.0,0.0,0.0,0.0011323
1,GROUP_MD1,Grup 1. Maçları,3-4-3,D1,D,2,15186832,786133,Ramin Rezaeian,Iran,New Zealand,90.0,9.2,1.0,1.0,0.348,0.330897
1,GROUP_MD1,Grup 1. Maçları,3-4-3,D2,D,2,15186783,784677,Diney Borges,Cabo Verde,Spain,90.0,8.5,0.0,0.0,0.1276,0.00287336
1,GROUP_MD1,Grup 1. Maçları,3-4-3,D3,D,2,15186899,940871,Nico Schlotterbeck,Germany,Curaçao,90.0,8.4,1.0,0.0,0.3094,0.0378613
1,GROUP_MD1,Grup 1. Maçları,3-4-3,M1,M,3,15186832,905267,Elijah Just,New Zealand,Iran,90.0,9.0,2.0,0.0,0.3071,0.111325
1,GROUP_MD1,Grup 1. Maçları,3-4-3,M2,M,3,15186783,992587,Pedri,Spain,Cabo Verde,90.0,9.0,0.0,0.0,0.0986,1.23302
1,GROUP_MD1,Grup 1. Maçları,3-4-3,M3,M,3,15186720,889689,Hwang In-beom,South Korea,Czechia,84.0,8.8,1.0,1.0,0.3594,0.495255
1,GROUP_MD1,Grup 1. Maçları,3-4-3,M4,M,3,15186951,1036269,Yasin Ayari,Sweden,Tunisia,90.0,8.7,2.0,0.0,0.0684,0.117568
1,GROUP_MD1,Grup 1. Maçları,3-4-3,F1,F,4,15186854,12994,Lionel Messi,Argentina,Algeria,80.0,10.0,3.0,0.0,1.03,0.11
1,GROUP_MD1,Grup 1. Maçları,3-4-3,F2,F,4,15186873,934237,Folarin Balogun,USA,Paraguay,72.0,9.0,2.0,0.0,0.4688,0.0751069
1,GROUP_MD1,Grup 1. Maçları,3-4-3,F3,F,4,15186951,823941,Alexander Isak,Sweden,Tunisia,89.0,8.6,1.0,2.0,0.3197,0.035124
1,GROUP_MD1,Grup 1. Maçları,3-5-2,G1,G,1,15186783,307436,Vozinha,Cabo Verde,Spain,90.0,9.7,0.0,0.0,0.0,0.0011323
1,GROUP_MD1,Grup 1. Maçları,3-5-2,D1,D,2,15186832,786133,Ramin Rezaeian,Iran,New Zealand,90.0,9.2,1.0,1.0,0.348,0.330897
1,GROUP_MD1,Grup 1. Maçları,3-5-2,D2,D,2,15186783,784677,Diney Borges,Cabo Verde,Spain,90.0,8.5,0.0,0.0,0.1276,0.00287336
1,GROUP_MD1,Grup 1. Maçları,3-5-2,D3,D,2,15186899,940871,Nico Schlotterbeck,Germany,Curaçao,90.0,8.4,1.0,0.0,0.3094,0.0378613
1,GROUP_MD1,Grup 1. Maçları,3-5-2,M1,M,3,15186832,905267,Elijah Just,New Zealand,Iran,90.0,9.0,2.0,0.0,0.3071,0.111325
1,GROUP_MD1,Grup 1. Maçları,3-5-2,M2,M,3,15186783,992587,Pedri,Spain,Cabo Verde,90.0,9.0,0.0,0.0,0.0986,1.23302
1,GROUP_MD1,Grup 1. Maçları,3-5-2,M3,M,3,15186720,889689,Hwang In-beom,South Korea,Czechia,84.0,8.8,1.0,1.0,0.3594,0.495255
1,GROUP_MD1,Grup 1. Maçları,3-5-2,M4,M,3,15186951,1036269,Yasin Ayari,Sweden,Tunisia,90.0,8.7,2.0,0.0,0.0684,0.117568
1,GROUP_MD1,Grup 1. Maçları,3-5-2,M5,M,3,15186783,827606,Rodri,Spain,Cabo Verde,87.0,8.6,0.0,0.0,0.1098,0.436568
1,GROUP_MD1,Grup 1. Maçları,3-5-2,F1,F,4,15186854,12994,Lionel Messi,Argentina,Algeria,80.0,10.0,3.0,0.0,1.03,0.11
1,GROUP_MD1,Grup 1. Maçları,3-5-2,F2,F,4,15186873,934237,Folarin Balogun,USA,Paraguay,72.0,9.0,2.0,0.0,0.4688,0.0751069
1,GROUP_MD1,Grup 1. Maçları,4-2-3-1,G1,G,1,15186783,307436,Vozinha,Cabo Verde,Spain,90.0,9.7,0.0,0.0,0.0,0.0011323
1,GROUP_MD1,Grup 1. Maçları,4-2-3-1,D1,D,2,15186832,786133,Ramin Rezaeian,Iran,New Zealand,90.0,9.2,1.0,1.0,0.348,0.330897
1,GROUP_MD1,Grup 1. Maçları,4-2-3-1,D2,D,2,15186783,784677,Diney Borges,Cabo Verde,Spain,90.0,8.5,0.0,0.0,0.1276,0.00287336
1,GROUP_MD1,Grup 1. Maçları,4-2-3-1,D3,D,2,15186899,940871,Nico Schlotterbeck,Germany,Curaçao,90.0,8.4,1.0,0.0,0.3094,0.0378613
1,GROUP_MD1,Grup 1. Maçları,4-2-3-1,D4,D,2,15186783,149734,Aymeric Laporte,Spain,Cabo Verde,90.0,8.2,0.0,0.0,0.0748,0.130301
1,GROUP_MD1,Grup 1. Maçları,4-2-3-1,M1,M,3,15186832,905267,Elijah Just,New Zealand,Iran,90.0,9.0,2.0,0.0,0.3071,0.111325
1,GROUP_MD1,Grup 1. Maçları,4-2-3-1,M2,M,3,15186783,992587,Pedri,Spain,Cabo Verde,90.0,9.0,0.0,0.0,0.0986,1.23302
1,GROUP_MD1,Grup 1. Maçları,4-2-3-1,M3,M,3,15186720,889689,Hwang In-beom,South Korea,Czechia,84.0,8.8,1.0,1.0,0.3594,0.495255
1,GROUP_MD1,Grup 1. Maçları,4-2-3-1,M4,M,3,15186951,1036269,Yasin Ayari,Sweden,Tunisia,90.0,8.7,2.0,0.0,0.0684,0.117568
1,GROUP_MD1,Grup 1. Maçları,4-2-3-1,M5,M,3,15186783,827606,Rodri,Spain,Cabo Verde,87.0,8.6,0.0,0.0,0.1098,0.436568
1,GROUP_MD1,Grup 1. Maçları,4-2-3-1,F1,F,4,15186854,12994,Lionel Messi,Argentina,Algeria,80.0,10.0,3.0,0.0,1.03,0.11
1,GROUP_MD1,Grup 1. Maçları,4-3-3,G1,G,1,15186783,307436,Vozinha,Cabo Verde,Spain,90.0,9.7,0.0,0.0,0.0,0.0011323
1,GROUP_MD1,Grup 1. Maçları,4-3-3,D1,D,2,15186832,786133,Ramin Rezaeian,Iran,New Zealand,90.0,9.2,1.0,1.0,0.348,0.330897
1,GROUP_MD1,Grup 1. Maçları,4-3-3,D2,D,2,15186783,784677,Diney Borges,Cabo Verde,Spain,90.0,8.5,0.0,0.0,0.1276,0.00287336
1,GROUP_MD1,Grup 1. Maçları,4-3-3,D3,D,2,15186899,940871,Nico Schlotterbeck,Germany,Curaçao,90.0,8.4,1.0,0.0,0.3094,0.0378613
1,GROUP_MD1,Grup 1. Maçları,4-3-3,D4,D,2,15186783,149734,Aymeric Laporte,Spain,Cabo Verde,90.0,8.2,0.0,0.0,0.0748,0.130301
1,GROUP_MD1,Grup 1. Maçları,4-3-3,M1,M,3,15186832,905267,Elijah Just,New Zealand,Iran,90.0,9.0,2.0,0.0,0.3071,0.111325
1,GROUP_MD1,Grup 1. Maçları,4-3-3,M2,M,3,15186783,992587,Pedri,Spain,Cabo Verde,90.0,9.0,0.0,0.0,0.0986,1.23302
1,GROUP_MD1,Grup 1. Maçları,4-3-3,M3,M,3,15186720,889689,Hwang In-beom,South Korea,Czechia,84.0,8.8,1.0,1.0,0.3594,0.495255
1,GROUP_MD1,Grup 1. Maçları,4-3-3,F1,F,4,15186854,12994,Lionel Messi,Argentina,Algeria,80.0,10.0,3.0,0.0,1.03,0.11
1,GROUP_MD1,Grup 1. Maçları,4-3-3,F2,F,4,15186873,934237,Folarin Balogun,USA,Paraguay,72.0,9.0,2.0,0.0,0.4688,0.0751069
1,GROUP_MD1,Grup 1. Maçları,4-3-3,F3,F,4,15186951,823941,Alexander Isak,Sweden,Tunisia,89.0,8.6,1.0,2.0,0.3197,0.035124
1,GROUP_MD1,Grup 1. Maçları,4-4-2,G1,G,1,15186783,307436,Vozinha,Cabo Verde,Spain,90.0,9.7,0.0,0.0,0.0,0.0011323
1,GROUP_MD1,Grup 1. Maçları,4-4-2,D1,D,2,15186832,786133,Ramin Rezaeian,Iran,New Zealand,90.0,9.2,1.0,1.0,0.348,0.330897
1,GROUP_MD1,Grup 1. Maçları,4-4-2,D2,D,2,15186783,784677,Diney Borges,Cabo Verde,Spain,90.0,8.5,0.0,0.0,0.1276,0.00287336
1,GROUP_MD1,Grup 1. Maçları,4-4-2,D3,D,2,15186899,940871,Nico Schlotterbeck,Germany,Curaçao,90.0,8.4,1.0,0.0,0.3094,0.0378613
1,GROUP_MD1,Grup 1. Maçları,4-4-2,D4,D,2,15186783,149734,Aymeric Laporte,Spain,Cabo Verde,90.0,8.2,0.0,0.0,0.0748,0.130301
1,GROUP_MD1,Grup 1. Maçları,4-4-2,M1,M,3,15186832,905267,Elijah Just,New Zealand,Iran,90.0,9.0,2.0,0.0,0.3071,0.111325
1,GROUP_MD1,Grup 1. Maçları,4-4-2,M2,M,3,15186783,992587,Pedri,Spain,Cabo Verde,90.0,9.0,0.0,0.0,0.0986,1.23302
1,GROUP_MD1,Grup 1. Maçları,4-4-2,M3,M,3,15186720,889689,Hwang In-beom,South Korea,Czechia,84.0,8.8,1.0,1.0,0.3594,0.495255
1,GROUP_MD1,Grup 1. Maçları,4-4-2,M4,M,3,15186951,1036269,Yasin Ayari,Sweden,Tunisia,90.0,8.7,2.0,0.0,0.0684,0.117568
1,GROUP_MD1,Grup 1. Maçları,4-4-2,F1,F,4,15186854,12994,Lionel Messi,Argentina,Algeria,80.0,10.0,3.0,0.0,1.03,0.11
1,GROUP_MD1,Grup 1. Maçları,4-4-2,F2,F,4,15186873,934237,Folarin Balogun,USA,Paraguay,72.0,9.0,2.0,0.0,0.4688,0.0751069
1,GROUP_MD1,Grup 1. Maçları,4-5-1,G1,G,1,15186783,307436,Vozinha,Cabo Verde,Spain,90.0,9.7,0.0,0.0,0.0,0.0011323
1,GROUP_MD1,Grup 1. Maçları,4-5-1,D1,D,2,15186832,786133,Ramin Rezaeian,Iran,New Zealand,90.0,9.2,1.0,1.0,0.348,0.330897
1,GROUP_MD1,Grup 1. Maçları,4-5-1,D2,D,2,15186783,784677,Diney Borges,Cabo Verde,Spain,90.0,8.5,0.0,0.0,0.1276,0.00287336
1,GROUP_MD1,Grup 1. Maçları,4-5-1,D3,D,2,15186899,940871,Nico Schlotterbeck,Germany,Curaçao,90.0,8.4,1.0,0.0,0.3094,0.0378613
1,GROUP_MD1,Grup 1. Maçları,4-5-1,D4,D,2,15186783,149734,Aymeric Laporte,Spain,Cabo Verde,90.0,8.2,0.0,0.0,0.0748,0.130301
1,GROUP_MD1,Grup 1. Maçları,4-5-1,M1,M,3,15186832,905267,Elijah Just,New Zealand,Iran,90.0,9.0,2.0,0.0,0.3071,0.111325
1,GROUP_MD1,Grup 1. Maçları,4-5-1,M2,M,3,15186783,992587,Pedri,Spain,Cabo Verde,90.0,9.0,0.0,0.0,0.0986,1.23302
1,GROUP_MD1,Grup 1. Maçları,4-5-1,M3,M,3,15186720,889689,Hwang In-beom,South Korea,Czechia,84.0,8.8,1.0,1.0,0.3594,0.495255
1,GROUP_MD1,Grup 1. Maçları,4-5-1,M4,M,3,15186951,1036269,Yasin Ayari,Sweden,Tunisia,90.0,8.7,2.0,0.0,0.0684,0.117568
1,GROUP_MD1,Grup 1. Maçları,4-5-1,M5,M,3,15186783,827606,Rodri,Spain,Cabo Verde,87.0,8.6,0.0,0.0,0.1098,0.436568
1,GROUP_MD1,Grup 1. Maçları,4-5-1,F1,F,4,15186854,12994,Lionel Messi,Argentina,Algeria,80.0,10.0,3.0,0.0,1.03,0.11
1,GROUP_MD1,Grup 1. Maçları,5-3-2,G1,G,1,15186783,307436,Vozinha,Cabo Verde,Spain,90.0,9.7,0.0,0.0,0.0,0.0011323
1,GROUP_MD1,Grup 1. Maçları,5-3-2,D1,D,2,15186832,786133,Ramin Rezaeian,Iran,New Zealand,90.0,9.2,1.0,1.0,0.348,0.330897
1,GROUP_MD1,Grup 1. Maçları,5-3-2,D2,D,2,15186783,784677,Diney Borges,Cabo Verde,Spain,90.0,8.5,0.0,0.0,0.1276,0.00287336
1,GROUP_MD1,Grup 1. Maçları,5-3-2,D3,D,2,15186899,940871,Nico Schlotterbeck,Germany,Curaçao,90.0,8.4,1.0,0.0,0.3094,0.0378613
1,GROUP_MD1,Grup 1. Maçları,5-3-2,D4,D,2,15186783,149734,Aymeric Laporte,Spain,Cabo Verde,90.0,8.2,0.0,0.0,0.0748,0.130301
1,GROUP_MD1,Grup 1. Maçları,5-3-2,D5,D,2,15186836,831488,Nikola Katić,Bosnia & Herzegovina,Canada,90.0,8.1,0.0,0.0,0.0,0.00292007
1,GROUP_MD1,Grup 1. Maçları,5-3-2,M1,M,3,15186832,905267,Elijah Just,New Zealand,Iran,90.0,9.0,2.0,0.0,0.3071,0.111325
1,GROUP_MD1,Grup 1. Maçları,5-3-2,M2,M,3,15186783,992587,Pedri,Spain,Cabo Verde,90.0,9.0,0.0,0.0,0.0986,1.23302
1,GROUP_MD1,Grup 1. Maçları,5-3-2,M3,M,3,15186720,889689,Hwang In-beom,South Korea,Czechia,84.0,8.8,1.0,1.0,0.3594,0.495255
1,GROUP_MD1,Grup 1. Maçları,5-3-2,F1,F,4,15186854,12994,Lionel Messi,Argentina,Algeria,80.0,10.0,3.0,0.0,1.03,0.11
1,GROUP_MD1,Grup 1. Maçları,5-3-2,F2,F,4,15186873,934237,Folarin Balogun,USA,Paraguay,72.0,9.0,2.0,0.0,0.4688,0.0751069
2,GROUP_MD2,Grup 2. Maçları,3-4-3,G1,G,1,15186906,40859,Eloy Room,Curaçao,Ecuador,90.0,10.0,0.0,0.0,0.0,0.00104768
2,GROUP_MD2,Grup 2. Maçları,3-4-3,D1,D,2,15186858,989768,Nuno Mendes,Portugal,Uzbekistan,90.0,8.9,1.0,0.0,0.1681,0.352626
2,GROUP_MD2,Grup 2. Maçları,3-4-3,D2,D,2,15186957,759520,Denzel Dumfries,Netherlands,Sweden,90.0,8.8,0.0,2.0,0.0,0.417216
2,GROUP_MD2,Grup 2. Maçları,3-4-3,D3,D,2,15186798,829207,Richie Laryea,Canada,Qatar,90.0,8.8,0.0,0.0,0.0273,0.783665
2,GROUP_MD2,Grup 2. Maçları,3-4-3,M1,M,3,15186858,288205,Bruno Fernandes,Portugal,Uzbekistan,90.0,8.7,0.0,1.0,0.1203,0.478601
2,GROUP_MD2,Grup 2. Maçları,3-4-3,M2,M,3,15186769,818244,Ousmane Dembélé,France,Iraq,68.0,8.7,1.0,1.0,0.644,0.477185
2,GROUP_MD2,Grup 2. Maçları,3-4-3,M3,M,3,15186798,886223,Stephen Eustaquio,Canada,Qatar,90.0,8.6,0.0,0.0,0.0236,0.306317
2,GROUP_MD2,Grup 2. Maçları,3-4-3,M4,M,3,15186827,159665,Mohamed Salah,Egypt,New Zealand,85.0,8.6,1.0,1.0,0.5575,0.263478
2,GROUP_MD2,Grup 2. Maçları,3-4-3,F1,F,4,15186963,985823,Ayase Ueda,Japan,Tunisia,84.0,9.6,2.0,1.0,0.5374,0.345397
2,GROUP_MD2,Grup 2. Maçları,3-4-3,F2,F,4,15186957,862967,Cody Gakpo,Netherlands,Sweden,89.0,9.5,2.0,1.0,1.164,0.472945
2,GROUP_MD2,Grup 2. Maçları,3-4-3,F3,F,4,15186840,823622,Mikel Oyarzabal,Spain,Saudi Arabia,45.0,9.4,2.0,1.0,0.8012,0.420354
2,GROUP_MD2,Grup 2. Maçları,3-5-2,G1,G,1,15186906,40859,Eloy Room,Curaçao,Ecuador,90.0,10.0,0.0,0.0,0.0,0.00104768
2,GROUP_MD2,Grup 2. Maçları,3-5-2,D1,D,2,15186858,989768,Nuno Mendes,Portugal,Uzbekistan,90.0,8.9,1.0,0.0,0.1681,0.352626
2,GROUP_MD2,Grup 2. Maçları,3-5-2,D2,D,2,15186957,759520,Denzel Dumfries,Netherlands,Sweden,90.0,8.8,0.0,2.0,0.0,0.417216
2,GROUP_MD2,Grup 2. Maçları,3-5-2,D3,D,2,15186798,829207,Richie Laryea,Canada,Qatar,90.0,8.8,0.0,0.0,0.0273,0.783665
2,GROUP_MD2,Grup 2. Maçları,3-5-2,M1,M,3,15186858,288205,Bruno Fernandes,Portugal,Uzbekistan,90.0,8.7,0.0,1.0,0.1203,0.478601
2,GROUP_MD2,Grup 2. Maçları,3-5-2,M2,M,3,15186769,818244,Ousmane Dembélé,France,Iraq,68.0,8.7,1.0,1.0,0.644,0.477185
2,GROUP_MD2,Grup 2. Maçları,3-5-2,M3,M,3,15186798,886223,Stephen Eustaquio,Canada,Qatar,90.0,8.6,0.0,0.0,0.0236,0.306317
2,GROUP_MD2,Grup 2. Maçları,3-5-2,M4,M,3,15186827,159665,Mohamed Salah,Egypt,New Zealand,85.0,8.6,1.0,1.0,0.5575,0.263478
2,GROUP_MD2,Grup 2. Maçları,3-5-2,M5,M,3,15186798,1093229,Nathan-Dylan Saliba,Canada,Qatar,33.0,8.5,1.0,1.0,0.1423,0.178963
2,GROUP_MD2,Grup 2. Maçları,3-5-2,F1,F,4,15186963,985823,Ayase Ueda,Japan,Tunisia,84.0,9.6,2.0,1.0,0.5374,0.345397
2,GROUP_MD2,Grup 2. Maçları,3-5-2,F2,F,4,15186957,862967,Cody Gakpo,Netherlands,Sweden,89.0,9.5,2.0,1.0,1.164,0.472945
2,GROUP_MD2,Grup 2. Maçları,4-2-3-1,G1,G,1,15186906,40859,Eloy Room,Curaçao,Ecuador,90.0,10.0,0.0,0.0,0.0,0.00104768
2,GROUP_MD2,Grup 2. Maçları,4-2-3-1,D1,D,2,15186858,989768,Nuno Mendes,Portugal,Uzbekistan,90.0,8.9,1.0,0.0,0.1681,0.352626
2,GROUP_MD2,Grup 2. Maçları,4-2-3-1,D2,D,2,15186957,759520,Denzel Dumfries,Netherlands,Sweden,90.0,8.8,0.0,2.0,0.0,0.417216
2,GROUP_MD2,Grup 2. Maçları,4-2-3-1,D3,D,2,15186798,829207,Richie Laryea,Canada,Qatar,90.0,8.8,0.0,0.0,0.0273,0.783665
2,GROUP_MD2,Grup 2. Maçları,4-2-3-1,D4,D,2,15186798,984419,Alistair Johnston,Canada,Qatar,90.0,8.6,0.0,0.0,0.0541,1.28156
2,GROUP_MD2,Grup 2. Maçları,4-2-3-1,M1,M,3,15186858,288205,Bruno Fernandes,Portugal,Uzbekistan,90.0,8.7,0.0,1.0,0.1203,0.478601
2,GROUP_MD2,Grup 2. Maçları,4-2-3-1,M2,M,3,15186769,818244,Ousmane Dembélé,France,Iraq,68.0,8.7,1.0,1.0,0.644,0.477185
2,GROUP_MD2,Grup 2. Maçları,4-2-3-1,M3,M,3,15186798,886223,Stephen Eustaquio,Canada,Qatar,90.0,8.6,0.0,0.0,0.0236,0.306317
2,GROUP_MD2,Grup 2. Maçları,4-2-3-1,M4,M,3,15186827,159665,Mohamed Salah,Egypt,New Zealand,85.0,8.6,1.0,1.0,0.5575,0.263478
2,GROUP_MD2,Grup 2. Maçları,4-2-3-1,M5,M,3,15186798,1093229,Nathan-Dylan Saliba,Canada,Qatar,33.0,8.5,1.0,1.0,0.1423,0.178963
2,GROUP_MD2,Grup 2. Maçları,4-2-3-1,F1,F,4,15186963,985823,Ayase Ueda,Japan,Tunisia,84.0,9.6,2.0,1.0,0.5374,0.345397
2,GROUP_MD2,Grup 2. Maçları,4-3-3,G1,G,1,15186906,40859,Eloy Room,Curaçao,Ecuador,90.0,10.0,0.0,0.0,0.0,0.00104768
2,GROUP_MD2,Grup 2. Maçları,4-3-3,D1,D,2,15186858,989768,Nuno Mendes,Portugal,Uzbekistan,90.0,8.9,1.0,0.0,0.1681,0.352626
2,GROUP_MD2,Grup 2. Maçları,4-3-3,D2,D,2,15186957,759520,Denzel Dumfries,Netherlands,Sweden,90.0,8.8,0.0,2.0,0.0,0.417216
2,GROUP_MD2,Grup 2. Maçları,4-3-3,D3,D,2,15186798,829207,Richie Laryea,Canada,Qatar,90.0,8.8,0.0,0.0,0.0273,0.783665
2,GROUP_MD2,Grup 2. Maçları,4-3-3,D4,D,2,15186798,984419,Alistair Johnston,Canada,Qatar,90.0,8.6,0.0,0.0,0.0541,1.28156
2,GROUP_MD2,Grup 2. Maçları,4-3-3,M1,M,3,15186858,288205,Bruno Fernandes,Portugal,Uzbekistan,90.0,8.7,0.0,1.0,0.1203,0.478601
2,GROUP_MD2,Grup 2. Maçları,4-3-3,M2,M,3,15186769,818244,Ousmane Dembélé,France,Iraq,68.0,8.7,1.0,1.0,0.644,0.477185
2,GROUP_MD2,Grup 2. Maçları,4-3-3,M3,M,3,15186798,886223,Stephen Eustaquio,Canada,Qatar,90.0,8.6,0.0,0.0,0.0236,0.306317
2,GROUP_MD2,Grup 2. Maçları,4-3-3,F1,F,4,15186963,985823,Ayase Ueda,Japan,Tunisia,84.0,9.6,2.0,1.0,0.5374,0.345397
2,GROUP_MD2,Grup 2. Maçları,4-3-3,F2,F,4,15186957,862967,Cody Gakpo,Netherlands,Sweden,89.0,9.5,2.0,1.0,1.164,0.472945
2,GROUP_MD2,Grup 2. Maçları,4-3-3,F3,F,4,15186840,823622,Mikel Oyarzabal,Spain,Saudi Arabia,45.0,9.4,2.0,1.0,0.8012,0.420354
2,GROUP_MD2,Grup 2. Maçları,4-4-2,G1,G,1,15186906,40859,Eloy Room,Curaçao,Ecuador,90.0,10.0,0.0,0.0,0.0,0.00104768
2,GROUP_MD2,Grup 2. Maçları,4-4-2,D1,D,2,15186858,989768,Nuno Mendes,Portugal,Uzbekistan,90.0,8.9,1.0,0.0,0.1681,0.352626
2,GROUP_MD2,Grup 2. Maçları,4-4-2,D2,D,2,15186957,759520,Denzel Dumfries,Netherlands,Sweden,90.0,8.8,0.0,2.0,0.0,0.417216
2,GROUP_MD2,Grup 2. Maçları,4-4-2,D3,D,2,15186798,829207,Richie Laryea,Canada,Qatar,90.0,8.8,0.0,0.0,0.0273,0.783665
2,GROUP_MD2,Grup 2. Maçları,4-4-2,D4,D,2,15186798,984419,Alistair Johnston,Canada,Qatar,90.0,8.6,0.0,0.0,0.0541,1.28156
2,GROUP_MD2,Grup 2. Maçları,4-4-2,M1,M,3,15186858,288205,Bruno Fernandes,Portugal,Uzbekistan,90.0,8.7,0.0,1.0,0.1203,0.478601
2,GROUP_MD2,Grup 2. Maçları,4-4-2,M2,M,3,15186769,818244,Ousmane Dembélé,France,Iraq,68.0,8.7,1.0,1.0,0.644,0.477185
2,GROUP_MD2,Grup 2. Maçları,4-4-2,M3,M,3,15186798,886223,Stephen Eustaquio,Canada,Qatar,90.0,8.6,0.0,0.0,0.0236,0.306317
2,GROUP_MD2,Grup 2. Maçları,4-4-2,M4,M,3,15186827,159665,Mohamed Salah,Egypt,New Zealand,85.0,8.6,1.0,1.0,0.5575,0.263478
2,GROUP_MD2,Grup 2. Maçları,4-4-2,F1,F,4,15186963,985823,Ayase Ueda,Japan,Tunisia,84.0,9.6,2.0,1.0,0.5374,0.345397
2,GROUP_MD2,Grup 2. Maçları,4-4-2,F2,F,4,15186957,862967,Cody Gakpo,Netherlands,Sweden,89.0,9.5,2.0,1.0,1.164,0.472945
2,GROUP_MD2,Grup 2. Maçları,4-5-1,G1,G,1,15186906,40859,Eloy Room,Curaçao,Ecuador,90.0,10.0,0.0,0.0,0.0,0.00104768
2,GROUP_MD2,Grup 2. Maçları,4-5-1,D1,D,2,15186858,989768,Nuno Mendes,Portugal,Uzbekistan,90.0,8.9,1.0,0.0,0.1681,0.352626
2,GROUP_MD2,Grup 2. Maçları,4-5-1,D2,D,2,15186957,759520,Denzel Dumfries,Netherlands,Sweden,90.0,8.8,0.0,2.0,0.0,0.417216
2,GROUP_MD2,Grup 2. Maçları,4-5-1,D3,D,2,15186798,829207,Richie Laryea,Canada,Qatar,90.0,8.8,0.0,0.0,0.0273,0.783665
2,GROUP_MD2,Grup 2. Maçları,4-5-1,D4,D,2,15186798,984419,Alistair Johnston,Canada,Qatar,90.0,8.6,0.0,0.0,0.0541,1.28156
2,GROUP_MD2,Grup 2. Maçları,4-5-1,M1,M,3,15186858,288205,Bruno Fernandes,Portugal,Uzbekistan,90.0,8.7,0.0,1.0,0.1203,0.478601
2,GROUP_MD2,Grup 2. Maçları,4-5-1,M2,M,3,15186769,818244,Ousmane Dembélé,France,Iraq,68.0,8.7,1.0,1.0,0.644,0.477185
2,GROUP_MD2,Grup 2. Maçları,4-5-1,M3,M,3,15186798,886223,Stephen Eustaquio,Canada,Qatar,90.0,8.6,0.0,0.0,0.0236,0.306317
2,GROUP_MD2,Grup 2. Maçları,4-5-1,M4,M,3,15186827,159665,Mohamed Salah,Egypt,New Zealand,85.0,8.6,1.0,1.0,0.5575,0.263478
2,GROUP_MD2,Grup 2. Maçları,4-5-1,M5,M,3,15186798,1093229,Nathan-Dylan Saliba,Canada,Qatar,33.0,8.5,1.0,1.0,0.1423,0.178963
2,GROUP_MD2,Grup 2. Maçları,4-5-1,F1,F,4,15186963,985823,Ayase Ueda,Japan,Tunisia,84.0,9.6,2.0,1.0,0.5374,0.345397
2,GROUP_MD2,Grup 2. Maçları,5-3-2,G1,G,1,15186906,40859,Eloy Room,Curaçao,Ecuador,90.0,10.0,0.0,0.0,0.0,0.00104768
2,GROUP_MD2,Grup 2. Maçları,5-3-2,D1,D,2,15186858,989768,Nuno Mendes,Portugal,Uzbekistan,90.0,8.9,1.0,0.0,0.1681,0.352626
2,GROUP_MD2,Grup 2. Maçları,5-3-2,D2,D,2,15186957,759520,Denzel Dumfries,Netherlands,Sweden,90.0,8.8,0.0,2.0,0.0,0.417216
